# 示例词典（手写）
#
# 格式：term<TAB>reading<TAB>pos<TAB>meaning
#   · 同一个词写多行 = 多个义项
#   · 第 4 列里用「；」或「;」分隔的多个意思会被拆成多条释义
#   · 以 # 开头的行是注释
#
# 这只是为了让示例数据根自洽可跑，只有十几个词。
# 真实使用请指向你自己的词典（TSV / Yomichan term_bank / JMdict-simplified 都支持）：
#
#     { "jpReader.dictionaryPath": "<文件或目录>" }
#
# ⚠ 词典文件不要提交进本仓库：体积大，而且许可各异（JMdict 是 CC-BY-SA 4.0，
#   Yomichan 各词典有自己的许可）。
起きる	おきる	動詞	起床，起来；发生
食べる	たべる	動詞	吃
飲む	のむ	動詞	喝；服用
読む	よむ	動詞	读；阅读
書く	かく	動詞	写
見る	みる	動詞	看；观看
行く	いく	動詞	去
来る	くる	動詞	来
作る	つくる	動詞	做；制作
使う	つかう	動詞	使用
分かる	わかる	動詞	明白；懂
天気	てんき	名詞	天气
散歩	さんぽ	名詞	散步
駅	えき	名詞	车站
友達	ともだち	名詞	朋友
映画	えいが	名詞	电影
本	ほん	名詞	书
店	みせ	名詞	店；商店
コーヒー	コーヒー	名詞	咖啡
